Fecha;Medio;Titular;URL;Tipo
29/09/2025;El Tiempo;Bogotá late distinto cuando el arte la habita;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1554298926;Internet
3/06/2025;El Tiempo;Zonas libres de drogas: Bogotá avanza en la señalización del espacio público;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1469389345;Internet
11/04/2025;redmas.com.co;Racionamiento de agua en Bogotá está de cumpleaños: cumple un añito y expertos explican las lecciones que deja la medida;https://redmas.com.co/colombia/Racionamiento-de-agua-en-Bogota-esta-de-cumpleanos-cumple-un-anito-y-expertos-explican-las-lecciones-que-deja-la-medida-20250410-0026.html;Internet
26/05/2025;El Tiempo;El reversazo de Galán con la carrera 7.a;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1463460664;Internet
10/02/2025;El Tiempo;OPINIÓN - Ruido, un problema invisible en Bogotá;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1386242374;Internet
5/08/2025;El Tiempo;OPINIÓN Los regalos que Bogotá se merece;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1516032776;Internet
30/01/2025;pulzo.com;"Proponen cobro a conductores de Bogotá, aunque idea no termina de cuajar con Galán""";https://www.pulzo.com/nacion/bogota/proponen-cobros-por-descongestion-bogota-para-aliviar-pico-placa-trancon-PP4276821;Internet
21/06/2025;La República;SERVICIOS DE VIGILANCIA SON DE CARACTERÍSTICAS TÉCNICAS UNIFORMES - Asuntos Legales;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1484037593;Internet
7/03/2025;Vanguardia ;Así cambiará la población de Santander en el 2 0 3 5 ;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1405393275;Internet
30/01/2025;portafolio.co;Cobros por descongestión: ¿por qué este modelo aún no se ha implementado en Bogotá?;https://www.portafolio.co/economia/regiones/por-que-el-cobro-por-descongestion-aun-no-se-ha-implementado-en-bogota-622847;Internet
28/03/2025;Canal Red Mas;Comerciantes de Bogotá se quejan por millonarias pérdidas ante obras viales   ( Mención Metro de Bogotá  - Transmilenio  - Fenalco ) ( Concejo de Bogotá  Julian Uscategui )  ( Dario Hidalgo Universidad Javeriana )   ( Omar Orostegui Universidad de La Sabana );https://a.eprensa.com/view_pdf.php?sid=23130&cid=1421492199;Internet
4/06/2025;Portafolio;Líder que grita, organización que se marchita;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1470315068;Internet
6/03/2025;caracol.com.co;¿Piensa tener hijos? Un estudio de la Uni.Sabana afirma que en 2035 la natalidad estará en 12 %;https://caracol.com.co/2025/03/06/piensa-tener-hijos-un-estudio-de-la-unisabana-afirma-que-en-2035-la-natalidad-estara-en-12/;Internet
7/03/2025;Qhubo Bucaramanga;¿Cómo se vivirá en 10 años?;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1405632618;Internet
20/01/2025;Extra Bogotá;CONCEJAL ENCONTRADO MUERTO;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1370643741;Internet
8/11/2025;La República;La Sabana y Blend serán aliados en tecnología ;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1583272009;Internet
5/03/2025;Canal Capital;Alcaldia de Bogotá  anunció que tomará acciones legales contra Gobierno Nacional  si no replantea  resolución en la que cambia la delimitación de las zonas de la Sabana de Bogotá ( Alcaldia de Bogotá  Carlos Fernando Galán ) ( Secretaria Distrital de Planeación de Bogotá Úrsula Ablanque ) ( Secretaria de Habitat de Bogotá  Vanessa Velasco )  ( Secretaria Distrital de Desarrollo Económico de Bogotá Maria del Pilar Uribe ) ( Secretaria de Ambiente de Bogotá Adriana Soto ) (  Universidad EAN  Brigitte Baptiste ) ( Camacol Guillermo Herrera ) ( Ex Ministerio de Ambiente Manuel Rodriguez ) ( Universidad de La Sabana Omar Orostegui ) ( Gobernación de Cundinamarca Jorge Rey );https://a.eprensa.com/view_pdf.php?sid=23130&cid=1404157236;Internet
6/03/2025;vanguardia.com;En estos municipios de Santander vivirá la gente más joven y más vieja en 2035;https://www.vanguardia.com/area-metropolitana/bucaramanga/2025/03/06/en-estos-municipios-de-santander-vivira-la-gente-mas-joven-y-mas-vieja-en-2035/;Internet
3/06/2025;portafolio.co;Líder que grita, organización que se marchita;https://www.portafolio.co/opinion/analisis/lider-que-grita-organizacion-que-se-marchita-631903;Internet
12/06/2025;forbes.co;Mecanismo bursátil para corregir las distorsiones del mercado de combustibles en Colombia;https://forbes.co/2025/06/12/red-forbes/mecanismo-bursatil-para-corregir-las-distorsiones-del-mercado-de-combustibles-en-colombia;Internet
24/06/2025;forbes.co;La reconstrucción fiscal que le espera al próximo Presidente;https://forbes.co/2025/06/24/red-forbes/la-reconstruccion-fiscal-que-le-espera-al-proximo-presidente;Internet
11/11/2025;portafolio.co;Blend y la Universidad de La Sabana impulsan alianza para fortalecer la formación e innovación y en IA;https://www.portafolio.co/tecnologia/blend-y-la-universidad-de-la-sabana-impulsan-alianza-para-fortalecer-la-formacion-e-innovacion-y-en-ia-482962;Internet
25/03/2025;eluniversal.com.co;¿Habrá más hombres que mujeres en Cartagena en 2035? Estudio lo dice;https://www.eluniversal.com.co/cartagena/2025/03/25/cartagena-tendra-mas-mujeres-que-hombres-para-2035-segun-proyeccion/;Internet
18/11/2025;Teleantioquia;La cifra informativa de hoy 91.6% son los casos de siniestros viales que quedan sin respuesta judicial.;https://a.eprensa.com/view_pdf.php?sid=23130&cid=1589471497;Internet
5/01/2025;Extra Bogotá;FUE ENCONTRADO SIN VIDA;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1361480828;Internet
6/03/2025;Caracol Radio Bogotá;La natalidad en Colombia se redujo un 12%, según un estudio de la Universidad de La Sabana;https://a.eprensa.com/view_pdf.php?sid=23130&cid=1405388375;Internet
13/01/2025;Canal Capital;La mayor frustración del gobierno distrital fue el aumento de homicidios, el número de asesinatos creció casi 12% y por eso el año 2024 fue el más violento de los últimos 8 años ( Omar orostegui Universidad de la Sabana - Felipe Mariño Bogotá Cómo Vamos - Cesar Restrepo Secretaria de Seguridad de Bogotá );https://a.eprensa.com/view_pdf.php?sid=23130&cid=1366139467;Internet
13/11/2025;lanotaeconomica.com.co;La Inteligencia Artificial al servicio del país: Blend y Universidad de La Sabana unen fuerzas para resolver retos públicos;https://lanotaeconomica.com.co/movidas-empresarial/la-inteligencia-artificial-al-servicio-del-pais-blend-y-universidad-de-la-sabana-unen-fuerzas-para-resolver-retos-publicos;Internet
10/03/2025;Canal Capital;En Bogotá se ha visto un positivo avance en materia de inclusión de mujeres al mercado laboral  ( Secretaría  Distrital de Desarrollo Económico de Bogotá  Maria del Pilar Lopez  )  ( Universidad La Sabana  Juan Sotelo )  ( Fondo Mujer Maria Fernanda Reyes );https://a.eprensa.com/view_pdf.php?sid=23130&cid=1407588655;Internet
11/06/2025;asuntoslegales.com.co;Un estado, en estado de naturaleza |;https://asuntoslegales.com.co/analisis/sergio-andres-morales-barreto-3905762/un-estado-en-estado-de-naturaleza-4155310;Internet
25/06/2025;asuntoslegales.com.co;Iván Felipe Unigarro Dorado, Análisis legal, judicial y el impacto de las leyes de Colombia | Asuntoslegales.com.co;https://www.asuntoslegales.com.co/analisis/ivan-felipe-unigarro-dorado-4164753;Internet
21/06/2025;asuntoslegales.com.co;Los servicios de vigilancia y seguridad privada son de características técnicas uniformes |;https://www.asuntoslegales.com.co/consultorio/los-servicios-de-vigilancia-y-seguridad-privada-son-de-caracteristicas-tecnicas-uniformes-4162992;Internet
8/04/2025;chicanoticias.com;Petro propone importar gas de Panamá por los cables de energía y le llueven críticas y memes;https://www.chicanoticias.com/2025/04/08/cables-gas-panama/;Internet
3/06/2025;El Observatorio de la Universidad Colombiana;¿Por qué es importante la doctrina social de la iglesia para los universitarios?: Felipe Cárdenas;https://www.universidad.edu.co/por-que-es-importante-la-doctrina-social-de-la-iglesia-para-los-universitarios-felipe-cardenas;Internet
13/11/2025;portalgeek.co;Blend y Universidad de La Sabana impulsan la Inteligencia Artificial para resolver retos públicos en Colombia;https://portalgeek.co/educacion/blend-universidad-de-la-sabana;Internet
7/11/2025;unisabana.edu.co;Universidad de La Sabana y Blend sellan alianza para potenciar el desarrollo de proyectos en inteligencia artificial y analítica de datos con soporte de AWS;https://www.unisabana.edu.co/noticias/paso-en-la-sabana/universidad-de-la-sabana-y-blend-sellan-alianza-para-potenciar-el-desarrollo-de-proyectos-en;Internet
13/11/2025;setechnota.com;La Inteligencia Artificial al servicio del país: Blend y Universidad de La Sabana unen fuerzas para resolver retos públicos;https://setechnota.com/2025/11/13/la-inteligencia-artificial-al-servicio-del-pais-blend-y-universidad-de-la-sabana-unen-fuerzas-para-resolver-retos-publicos;Internet
14/10/2025;Radio 1040;Para el mes Internacional de Prevención del Suicidio es laboratorio de Gobierno de la Universidad de La Sabana. Reportó las tasas de suicidio en el país;https://a.eprensa.com/view_pdf.php?sid=23130&cid=1565518090;Internet
2/02/2026;El Tiempo;OPINIÓN El ocaso de un símbolo: ¿para qué sirve hoy el día sin carro?;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1634484143;Prensa
1/02/2026;eltiempo.com;Opinión | El ocaso de un símbolo ¿Para qué sirve hoy el Día sin Carro?;https://www.eltiempo.com/bogota/opinion-el-ocaso-de-un-simbolo-para-que-sirve-hoy-el-dia-sin-carro-3528899;Internet
27/01/2026;lafm.com.co;La carta de Lafaurie y la línea que se rompió en el uribismo;https://www.lafm.com.co/politica/la-carta-de-lafaurie-y-la-linea-que-se-rompio-en-el-uribismo-388823;Internet
26/01/2026;desopinion.com;la crisis habitacional que desnudó un concierto en Medellín;https://desopinion.com/la-crisis-habitacional-que-desnudo-un-concierto-en-medellin;Internet
26/01/2026;El Tiempo;OPINIÓN: El ‘Efecto Bad Bunny’: La crisis habitacional que desnudó un concierto.;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1628862854;Prensa
25/01/2026;eltiempo.com;El ‘Efecto Bad Bunny’: la crisis habitacional que desnudó un concierto en Medellín;https://www.eltiempo.com/bogota/el-efecto-bad-bunny-la-crisis-habitacional-que-desnudo-un-concierto-en-medellin-3527043;Internet
3/01/2026;El Espectador;Carlos Femando Galán: dos años para dejar su legado;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1616287131;Prensa
19/01/2026;El Tiempo;El salario mínimo no es gratis (y alguien siempre paga la cuenta);https://p.eprensa.com/view_pdf.php?sid=23129&cid=1624403172;Prensa
18/01/2026;eltiempo.com;Opinión | El salario mínimo no es gratis (y alguien siempre paga la cuenta);https://www.eltiempo.com/bogota/opinion-el-salario-minimo-no-es-gratis-y-alguien-siempre-paga-la-cuenta-3525168;Internet
15/01/2026;eltiempo.com;En Bogotá, ciudadanos se sienten más inseguros, pero delitos y victimización bajaron: ¿Casos virales en redes sociales impactan en la percepción?;https://www.eltiempo.com/bogota/en-bogota-ciudadanos-se-sienten-mas-inseguros-pero-delitos-y-victimizacion-bajaron-casos-virales-en-redes-sociales-impactan-en-la-percepcion-3524572;Internet
